title,author,link,date
Курс «Python для инженеров». Старт 3 потока 31 января,Hedgehog_art ,https://habr.com/ru/companies/slurm/news/646825/,2022-01-20T15:37:16.000Z
"Жаждущим автоматизации: открытый урок «ChatOps c Errbot на Python», 21 декабря",geniyoctober ,https://habr.com/ru/companies/slurm/news/595093/,2021-12-13T06:00:03.000Z
"Открытый урок «Пишем Custom Prometheus Exporter на Python», 19 января",Hedgehog_art ,https://habr.com/ru/companies/slurm/news/645485/,2022-01-13T15:35:30.000Z
Microsoft представила дополнение Python Editor от команды Excel Labs,denis-19 ,https://habr.com/ru/news/761862/,2023-09-19T04:42:15.000Z
55% Python-разработчиков используют Linux-окружение и 22% — редактор Visual Studio Code,maybe_elf ,https://habr.com/ru/news/840224/,2024-09-02T07:27:25.000Z
Python Community Meetup 8/07: видео и материалы встречи,Raiffeisenbank ,https://habr.com/ru/companies/raiffeisenbank/news/566370/,2021-07-06T10:29:57.000Z
"Вышел Python 2.7.18, последний релиз ветки Python 2.x",denis-19 ,https://habr.com/ru/news/498364/,2020-04-21T15:35:14.000Z
Alchemer совместно с JetBrains и Python Software Foundation запустила «Опрос Python-разработчиков 2023»,denis-19 ,https://habr.com/ru/news/772872/,2023-11-09T11:05:15.000Z
Microsoft добавила Python в Excel,denis-19 ,https://habr.com/ru/news/756266/,2023-08-22T17:14:29.000Z
"JetBrains и Python Software Foundation рассказали, как разработчики использовали Python в 2022 году",daniilshat ,https://habr.com/ru/news/766124/,2023-10-09T05:39:37.000Z
Три уровня погружения в Python. Запись докладов с Python Meetup и полезные материалы,andreyzaytsev ,https://habr.com/ru/companies/selectel/news/766270/,2023-10-09T12:23:46.000Z
Автор курсов по Python и Pandas жалуется на вечный бан за рекламу торговли экзотическими животными,atomlib ,https://habr.com/ru/news/768702/,2023-10-20T04:17:35.000Z
1С VS Python – новый выпуск ютуб-шоу «Согласен / Не согласен»,ddomrachevaa ,https://habr.com/ru/companies/skbkontur/news/852712/,2024-10-23T06:14:29.000Z
Вышел мартовский релиз расширения Python для Visual Studio Code,maybe_elf ,https://habr.com/ru/news/654707/,2022-03-08T09:13:52.000Z
Релиз открытой библиотеки для быстрой обработки данных Python Polars 1.0,denis-19 ,https://habr.com/ru/news/825868/,2024-07-01T11:46:51.000Z
Инсайдерам Microsoft 365 станет доступен редактор Python в Excel,maybe_elf ,https://habr.com/ru/news/828098/,2024-07-11T06:57:03.000Z
Вышел Python 3.11,maybe_elf ,https://habr.com/ru/news/695298/,2022-10-25T09:02:04.000Z
EPAM разработала бесплатный курс по программированию для детей и подростков «Chatbot on Python. Part 1»,Sviatlana_Zimahorava ,https://habr.com/ru/companies/epam_systems/news/589555/,2021-11-16T13:09:46.000Z
Python как компилируемый статически типизированный язык программирования,alec_kalinin ,https://habr.com/ru/news/531402/,2020-12-04T18:03:25.000Z
Moscow Python Meetup x YADRO: встречаемся 23 марта,yadro_team ,https://habr.com/ru/companies/yadro/news/723806/,2023-03-21T13:35:46.000Z
